Learner,Adversary,Regime,RewardMode,Reward,RewardCI95,GoodputMbps,GoodputCI95,AdaptiveGoodputMbps,CappedGoodputMbps,FixedGoodputMbps,PDR,PDRCI95,MeanSINRdB,MeanSINRdBCI95,JamHit,JamHitCI95,Overlap,OverlapCI95,SwitchingRate,SwitchingRateCI95,FixedArmRegret,FixedArmRegretCI95,RuntimeSeconds,Tau
UCB,Contextual-expert white-box,stochastic,outage_capped,0.577240995259566,0.00220804711490415,2.30896398103826,0.00883218845961661,2.64881520494067,2.30896398103826,0.658305,0.658305,0.00224410990396029,12.3577527359728,0.0258980030729817,0.13583,0.00135972084131846,0.136160373372778,0.0013789816040743,0.312245,0.00253855843841798,505.500839993213,30.1004471391385,6.37775805,NaN
Thompson Sampling,Contextual-expert white-box,stochastic,outage_capped,0.600831141010425,0.00244389005496221,2.4033245640417,0.00977556021984885,2.75927816456543,2.4033245640417,0.684915,0.684915,0.00283301372393428,12.5345136604626,0.0223062560695029,0.10464,0.00174564556359079,0.105690912956215,0.00108859907456795,0.899915,0.00160491348906052,399.263174854367,49.6158629959984,13.69043275,NaN
EXP3,Contextual-expert white-box,stochastic,outage_capped,0.582288754081144,0.00316176518538131,2.32915501632458,0.0126470607415252,2.67126242296189,2.32915501632458,0.66397,0.66397,0.00326097736850391,12.3733981493429,0.028053784490006,0.130065,0.00289625452901538,0.130182549089305,0.00191526286804801,0.885855,0.00228004157810658,743.315542353028,72.2002850873981,6.24205795,NaN
LC-Tsallis-INF-Online,Contextual-expert white-box,stochastic,outage_capped,0.80953116745797,0.00216694397288648,3.23812466983188,0.00866777589154592,4.20810962749985,3.23812466983188,0.832725,0.832725,0.00239876738303127,15.2531931172338,0.0601194081612744,0.17187,0.00243657746331547,0.17248695568146,0.00143938130055301,0.91646,0.00125938679815552,-2037.69809370884,23.9262173128782,19.918124135,NaN
Risk-aware EXP4,Contextual-expert white-box,stochastic,outage_capped,0.733483765466593,0.00184864501795471,2.93393506186637,0.00739458007181882,3.43343490584087,2.93393506186637,0.807385,0.807385,0.00197343027612754,13.3180454178385,0.0212320686548882,0.103965,0.00150907774624455,0.104452129438888,0.000275414178965882,0.916115,0.000968406103374321,-1218.39559401974,18.970210370309,8.368940275,NaN
AUFH-EXP3++-1,Contextual-expert white-box,stochastic,outage_capped,0.608977556623128,0.00197111165591886,2.43591022649251,0.00788444662367543,2.79235494565098,2.43591022649251,0.694485,0.694485,0.00236675152499214,12.5673981717353,0.0229788316601356,0.0899,0.00159053283359283,0.0890636612647074,0.000679458796985137,0.91245,0.00126388208977028,291.21410011485,42.1136932023055,6.19531797,NaN
D-PACT-AFH-Base,Contextual-expert white-box,stochastic,outage_capped,0.809105781077773,0.00161520519296073,3.23642312431109,0.00646082077184293,4.0829317037747,3.23642312431109,0.84357,0.84357,0.00167999496490474,14.8000533732487,0.0830574947449196,0.15743,0.00206308284600345,0.158299751880186,0.00224346007578521,0.91662,0.000793688556179645,-2030.99745788908,18.8483457993336,25.993989235,NaN
D-PACT-AFH,Contextual-expert white-box,stochastic,outage_capped,0.808995234562351,0.00119756288264795,3.23598093824941,0.0047902515305918,3.86346119303125,3.23598093824941,0.86101,0.86101,0.00136756440895176,13.870491533382,0.0224715166572589,0.13415,0.0011247214953513,0.134095890120298,0.000335326185954828,0.916805,0.00142239372667494,-2025.20257751554,13.6030710618211,26.25271764,NaN
D-PACT-Safe95,Contextual-expert white-box,stochastic,outage_capped,0.776051766874746,0.00163010444056548,3.10420706749899,0.0065204177622619,3.5970840011428,3.10420706749899,0.85401,0.85401,0.00180500996119135,13.181508986026,0.018477232779751,0.107685,0.00132760733811264,0.108097083249855,9.22662314938425e-05,0.917255,0.00138326245863671,-1673.42311084745,18.9556575804556,27.09025971,0.11
