Regime,LocalMinusLCGoodputMbps,LocalMinusLCGoodputCI95,DynamicMinusLCGoodputMbps,DynamicMinusLCGoodputCI95,DynamicLocalMass,DynamicLocalMassCI95
Nonlinear interaction,-0.0917804202518809,0.00452534409236902,-0.0204457849891729,0.00633175576540378,0.258210991944555,0.0920584864539252
Observable switching,0.448619951503277,0.0595999668742936,0.428281252480123,0.0583762970503953,0.963560410575332,0.00888405024666153
