Label,Adversary,Tau,GoodputMbps,GoodputCI95,PDR,PDRCI95,ExpectedJamHit,ExpectedJamHitCI95,EmpiricalJamHit,EmpiricalJamHitCI95,ProjectionActivationRate,MeanProjectionKL,PreProjectionHitRisk,PostProjectionHitRisk,MaxBudgetViolation,RuntimeSeconds,IsPareto
scan,Contextual-expert white-box,0.085,2.66176741188337,0.0063321570207865,0.753965,0.00182818150141206,0.0849560438230779,4.88401212228077e-06,0.08461,0.00149044809652032,0.995895,0.658405057956181,0.108801157052156,0.0849560438230779,9.99659681422127e-11,27.13182044,1
scan,Contextual-expert white-box,0.09,2.81145731596334,0.00545925101873713,0.79224,0.0012625936346726,0.0899014121332118,7.34214443855295e-06,0.08894,0.00137974445841479,0.98057,0.474530114303968,0.114022580637233,0.0899014121332119,9.9972746053778e-11,27.640294955,1
scan,Contextual-expert white-box,0.1,3.00568992189315,0.00535263561914052,0.837505,0.0013841391921183,0.0994345224449394,1.25488482082526e-05,0.099045,0.00112075735577614,0.897765,0.254824776549264,0.122277649969225,0.0994345224449395,9.99738541951345e-11,27.53239147,1
scan,Contextual-expert white-box,0.11,3.11104525066588,0.00608449387710736,0.855665,0.00160365317880605,0.108076312132912,3.53684472377437e-05,0.10727,0.00135622190700955,0.768065,0.140361484647302,0.127715459129161,0.108076312132912,9.9974999806518e-11,27.99791586,1
scan,Contextual-expert white-box,0.12,3.16755859524582,0.00543417086943713,0.86205,0.00136324045838158,0.115374723889697,7.14418147554012e-05,0.114325,0.00117985136887304,0.61049,0.0782874535022486,0.130631856144867,0.115374723889697,9.99551288960454e-11,27.3106197,1
scan,Contextual-expert white-box,0.14,3.21442783253365,0.00752134240559894,0.863305,0.0020062606741477,0.125170966249669,0.000154063493598853,0.124325,0.00188790115430365,0.31819,0.0255214602861005,0.132856267533572,0.125170966249669,9.99402283152762e-11,27.005312915,1
