Label,Adversary,Tau,GoodputMbps,GoodputCI95,PDR,PDRCI95,ExpectedJamHit,ExpectedJamHitCI95,EmpiricalJamHit,EmpiricalJamHitCI95,ProjectionActivationRate,MeanProjectionKL,PreProjectionHitRisk,PostProjectionHitRisk,MaxBudgetViolation,RuntimeSeconds,IsPareto
balanced,Contextual-expert white-box,0.1,3.00568992189315,0.00535263561914052,0.837505,0.0013841391921183,0.0994345224449394,1.25488482082526e-05,0.099045,0.00112075735577614,0.897765,0.254824776549264,0.122277649969225,0.0994345224449395,9.99738541951345e-11,27.53239147,1
strict_safe,Contextual-expert white-box,0.085,2.66176741188337,0.0063321570207865,0.753965,0.00182818150141206,0.0849560438230779,4.88401212228077e-06,0.08461,0.00149044809652032,0.995895,0.658405057956181,0.108801157052156,0.0849560438230779,9.99659681422127e-11,27.13182044,1
safe95,Contextual-expert white-box,0.11,3.11104525066588,0.00608449387710736,0.855665,0.00160365317880605,0.108076312132912,3.53684472377437e-05,0.10727,0.00135622190700955,0.768065,0.140361484647302,0.127715459129161,0.108076312132912,9.9974999806518e-11,27.99791586,1
