Learner,Adversary,Regime,RewardMode,Reward,RewardCI95,GoodputMbps,GoodputCI95,AdaptiveGoodputMbps,CappedGoodputMbps,FixedGoodputMbps,PDR,PDRCI95,MeanSINRdB,MeanSINRdBCI95,JamHit,JamHitCI95,Overlap,OverlapCI95,SwitchingRate,SwitchingRateCI95,FixedArmRegret,FixedArmRegretCI95,RuntimeSeconds,Variant,ForceBase,Tau,MasterLcMass,MasterLcMassCI95,MasterLocalMass,MasterLocalMassCI95,MasterEffectiveCount,MasterEffectiveCountCI95
D-PACT LC-only,Contextual-expert white-box,stochastic,outage_capped,0.808763485283288,0.00150155410576393,3.23505394113315,0.00600621642305572,4.20624166318134,3.23505394113315,0.83183,0.83183,0.00196289144617671,15.258624826048,0.0671062773625124,0.172025,0.00233278897685288,0.172837335492902,0.00173841390382247,0.916635,0.000750974063607082,-2037.28851418491,13.5649726179171,23.068901545,D-PACT LC-only,lc,NaN,1,0,0,0,1,0
D-PACT Local-only,Contextual-expert white-box,stochastic,outage_capped,0.809768757469952,0.00118151646646225,3.23907502987981,0.00472606586584899,3.85857411695792,3.23907502987981,0.86232,0.86232,0.000991139635390541,13.8305188722946,0.0208158354766195,0.133145,0.00101042104720338,0.133107782845757,0.000396565747398764,0.917055,0.00101918760113915,-2040.57885961548,16.6772442635144,51.959604015,D-PACT Local-only,local,NaN,0,0,1,0,1,0
D-PACT-Base,Contextual-expert white-box,stochastic,outage_capped,0.808074554440971,0.00182307276383965,3.23229821776388,0.00729229105535861,4.07574006172157,3.23229821776388,0.842265,0.842265,0.00208769056539568,14.7880235527205,0.0768396336444691,0.15802,0.002393101745918,0.158517080649563,0.00205422780568343,0.917305,0.00143928009709533,-2029.27312457408,16.1341003858195,92.988896565,D-PACT-Base,none,NaN,0.647227878586485,0.041225160319715,0.352772121413515,0.0412251603197151,1.85686933064204,0.0424220089535194
D-PACT-Hit,Contextual-expert white-box,stochastic,outage_capped,0.809043706568891,0.00120090055300824,3.23617482627556,0.00480360221203294,3.86106690785483,3.23617482627556,0.86123,0.86123,0.00112108429092929,13.8553643570065,0.0227444220880018,0.133745,0.00106990216867072,0.133935143313379,0.000438337740458207,0.91699,0.00104382893940379,-2034.95302862242,16.9736149443657,95.554105615,D-PACT-Hit,none,NaN,0.0518058051513255,0.0113406092112693,0.948194194848675,0.0113406092112692,1.03384558449373,0.000172807727428157
D-PACT-Safe95,Contextual-expert white-box,stochastic,outage_capped,0.776004297531184,0.000754164992759134,3.10401719012474,0.00301665997103654,3.59590546110126,3.10401719012474,0.8542,0.8542,0.0012433586432681,13.1731756697801,0.0196652214625387,0.108335,0.00103041376564031,0.108060697295282,5.86748337421475e-05,0.918535,0.00131298250359128,-1679.66246659462,12.2015873564725,96.93665251,D-PACT-Safe95,none,0.11,0.0563889179233229,0.00699874286568608,0.943611082076677,0.0069987428656861,1.03614750016286,0.000548466284290473
